restaurant_id,restaurant_name,menu_type,menu_name,menu_category,price,is_recommended
6317637,Le Petit Souffle,French,Coq au Vin,main,20500,1
6317637,Le Petit Souffle,French,Ratatouille Provençal,main,7000,0
6317637,Le Petit Souffle,French,Crème Brûlée,dessert,32000,1
6317637,Le Petit Souffle,Japanese,Chicken Katsu Curry,main,17500,1
6317637,Le Petit Souffle,Japanese,Tempura Udon Noodles,main,33000,1
6317637,Le Petit Souffle,Japanese,Edamame with Sea Salt,side,11000,1
6317637,Le Petit Souffle,Desserts,Classic Tiramisu,dessert,33500,1
6317637,Le Petit Souffle,Desserts,New York Cheesecake,dessert,27000,1
6317637,Le Petit Souffle,Desserts,Molten Chocolate Lava Cake,dessert,27500,1
6304287,Izakaya Kikufuji,Japanese,Chicken Katsu Curry,main,20000,1
6304287,Izakaya Kikufuji,Japanese,Tempura Udon Noodles,main,29500,1
6304287,Izakaya Kikufuji,Japanese,Edamame with Sea Salt,side,8500,1
6300002,Heat - Edsa Shangri-La,Seafood,Grilled Seafood Platter,main,17500,1
6300002,Heat - Edsa Shangri-La,Seafood,Garlic Butter Prawns,main,26500,1
6300002,Heat - Edsa Shangri-La,Seafood,Calamari Rings,side,23000,1
6300002,Heat - Edsa Shangri-La,Asian,Stir-Fried Noodles with Vegetables,main,33000,0
6300002,Heat - Edsa Shangri-La,Asian,Asian Sesame Chicken Bowl,main,21500,1
6300002,Heat - Edsa Shangri-La,Asian,Crispy Spring Rolls,side,32000,1
6300002,Heat - Edsa Shangri-La,Filipino,Chicken Adobo,main,19500,1
6300002,Heat - Edsa Shangri-La,Filipino,Pork Sisig,main,34500,0
6300002,Heat - Edsa Shangri-La,Filipino,Halo-Halo Dessert,dessert,18500,1
6300002,Heat - Edsa Shangri-La,Indian,Butter Chicken with Naan,main,14000,1
6300002,Heat - Edsa Shangri-La,Indian,Palak Paneer,main,18500,1
6300002,Heat - Edsa Shangri-La,Indian,Tandoori Platter,side,12000,1
6318506,Ooma,Japanese,Chicken Katsu Curry,main,19500,1
6318506,Ooma,Japanese,Tempura Udon Noodles,main,15000,1
6318506,Ooma,Japanese,Edamame with Sea Salt,side,25000,0
6318506,Ooma,Sushi,Assorted Nigiri Sushi,main,18500,1
6318506,Ooma,Sushi,Salmon Maki Roll,main,7000,1
6318506,Ooma,Sushi,California Roll Platter,main,12500,0
6314302,Sambo Kojin,Japanese,Chicken Katsu Curry,main,18500,1
6314302,Sambo Kojin,Japanese,Tempura Udon Noodles,main,15000,0
6314302,Sambo Kojin,Japanese,Edamame with Sea Salt,side,18000,1
6314302,Sambo Kojin,Korean,Bibimbap Rice Bowl,main,21500,1
6314302,Sambo Kojin,Korean,Korean Fried Chicken,main,31000,0
6314302,Sambo Kojin,Korean,Kimchi Pancake,side,9500,0
18189371,Din Tai Fung,Chinese,Kung Pao Chicken,main,21000,1
18189371,Din Tai Fung,Chinese,Mapo Tofu with Rice,main,18500,1
18189371,Din Tai Fung,Chinese,Vegetable Spring Rolls,side,22000,1
6300781,Buffet 101,Asian,Stir-Fried Noodles with Vegetables,main,25500,1
6300781,Buffet 101,Asian,Asian Sesame Chicken Bowl,main,27000,1
6300781,Buffet 101,Asian,Crispy Spring Rolls,side,34000,1
6300781,Buffet 101,European,Herb Roasted Chicken,main,18000,1
6300781,Buffet 101,European,Creamy Mushroom Pasta,main,20500,1
6300781,Buffet 101,European,Mixed Green Salad,side,27000,1
