restaurant_id,restaurant_name,menu_name,menu_type,price,is_recommended
R001,홍대 텐동야,모둠 텐동,main,9800,Y
R001,홍대 텐동야,새우 텐동,main,10500,Y
R001,홍대 텐동야,우동 세트,side,3500,N
R001,홍대 텐동야,콜라,drink,2000,N
R002,홍대 파스타노바,까르보나라 파스타,main,14500,Y
R002,홍대 파스타노바,봉골레 파스타,main,13900,Y
R002,홍대 파스타노바,마르게리타 피자,main,16800,N
R002,홍대 파스타노바,하우스 와인(글라스),drink,7000,N
R003,강남 김치찌개연구소,직화 김치찌개,main,9500,Y
R003,강남 김치찌개연구소,참치 김치찌개,main,9800,Y
R003,강남 김치찌개연구소,계란말이,side,6000,N
R004,연남동 비스트로온,등심 스테이크,main,32000,Y
R004,연남동 비스트로온,봉골레 파스타,main,19000,N
R004,연남동 비스트로온,하우스 와인(글라스),drink,9000,Y
R005,성수 돈카츠모노,로스카츠 정식,main,13000,Y
R005,성수 돈카츠모노,히레카츠 정식,main,13500,Y
R005,성수 돈카츠모노,치즈카츠,main,14500,N
R005,성수 돈카츠모노,우롱차,drink,3000,N
